c .a,NI\Hlo,(NH ),HP0,,K HP0,,,,H o,,,
-7,---- 4,-4--2-,,4.0,212.184,2H,A i c.2,o,225,25.0,,pho sphates  -----
-6.9,1.4289,0.6100,,,12.18,,,,25,25.0,,5.2
-7.2,1.8607,0.7950,,,12.18,,,,25,25.0,,6.67
-7.7,2.3420,1.0013,,,12.18,,,,25,25.0,,8.25
-9,3.3088,1.4530,,,12.18,,,,25,25.0,,14.53
-10,(no da ta,g iven),,,12.18,,,,25,25.0,,18.1
-9,6.1565,2.6310,,,12.4626,,,,25,25.0,,19.0
- 6.5,6.6565,2.8446,,,12.4626,,,,25,25.0,,20.23
-2.5,7.2679,3.1059,,,12.4626,,,,25,25.0,,21.68
-2,6.1219,2.6074,,,9.9422,,,,20,25.0,,22.57
4.5,7.1316,3.1039,,,9.9422,,,,20,25.0,,25.36
10.5,7.8846,3.3694,,,9.9422,,,,20,25.0,,27.32
9,8.0187,3.4293,,,9.9422,,,,20,25.0,,27.66
17,9.0374,3.8625,,,9.9422,,,,20,25.0,,30.11
2,----,----,,,22.4178,,,,15,45.0,,-----
-2,1,0.4274,,,22.4178,,,,15,45.0,,3.67
-5,2,0.8548,,,22.4178,,,,15,45.0,,7.09
-8,3,1.2822,,,22.4178,,,,15,45.0,,10.27
-11,4,1.7096,,,22.4178,,,,15,45.0,,13.24
-13,4.5,1.9233,,,22.4178,,,,15,45.0,,14.65
6,5,2.1370,,,22.4178,,,,15,45.0,,16.02
10,5.5,2.3507,,,22.4178,,,,15,45.0,,17.34
