Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L,Column_M,Column_N
36.2,21.8,7.49,1.10,----,,,,,,,,,
33.5,21.5,5.18,0.70,----,--------,56.055.3,,8.427.66,,Rb ! zP0,,,4
31.831.3,21.121.3,4.013.25,0.510.41,---- ----,--------,54.254.7,,7.127.14,,"II """,,,
30.1,21.2,2.18,0.27,----,----,54.5,,6.89,,"""",,,
28.6,20.8,1.21,0.14,----,----,53.5,,6.46,,,,,
28.3,21.2,0.38,0.05,----,----,54.5,,6.61,,,,,
28.5,23.2,----,----,2.17,0.52,55.3,,7.14,,,,,
29.530.3,28.433.6,---- --,--------,8.29,2.46,57.3,,9.12,,,,,
30.731.3,36.039.6,-------- --,---- ----,14.621.917.5,5.637.8212.8,58.859.660.8,,12.214.319.2,,,,,
31.4,39.5,----,----,21.6,12.7,61.0,,19.2,,,,,
30.9,41.7,----,----,25.2,17.3,60.0,,22.2,,RbH (P05,,,4 ) 2
