Nr mass%,,mol% mass%,,mol%,mass% mol%,,,
2021 -6-. -88-,,0.69 ---- ---- 0.33,,---- 0.09,57.760.7,7.086.77,,
22 ----,,---- 18.7,,6.43,51.6,7.55,,
236.49,,0.67 ----,,----,59.3,7.54,,
2425 ---- ----,,-------- 19.70.33,,o.os 7.31,62.352.9,7.238.37,,
2627 -6.-4--0,,0.---69- ---- 0.32,,---- 0.09,60.763.6,7.987.68,,
28 ----,,---- 20. S,,8.37,52.9,8.37,,
293022.915.4,,5.712.41 --------,,----- ---,62.961.919.211.8,,,
3112.7,,1.77  ----,,----,61.910.6,,,
329.81,,1.24 ----,,----,62.2,9.67,,
336.30,,0.70  ----,,----,61.6,8.33,,
344.11,,0.45 ----,,----,63.5,8.53,,
35363.022.21,,0.330.22 ---- ----,,--------,64.262.9,a.50 7.83,,
37  ----,,---- 0.31,,0.09,65.6,8.37,,
3839  ---- ----,,-------- 1.001.14,,0.300.36,65.966.2,8.678.83,,
404241 ---- --------,,-------- -1.837.27,,0.592.96,66.667.711.8,9.16,,
4344 --------,,---------- - 11.617.816.8,,5.599.479.50,67.465.163.015.614.313.9,,,
The authors linearized,,the data for,the,reg ion,containing,H Po,and,give
the following equation,,,,,,34,,
