0,1,2,3,4,5,6,7,8,9,10,10_phase
Na o,P,0.0,,Na o,,NaO,l10,,,,
2,2,,5,14,,H,l,4,,Solid,
phasebmass% mol%,mass%,,mol%,mass% mol/ kg,,mass% mol/kg,mass%,mol/kg,,,
15.6415.325.135.02,0.550.59,,0.0790.084,1.271.360.100.09,,19.2518.775.876.05,--------,--------,,A,A
9.302.93,1.17,,0.16,2.70  0.18,,10.022.87,----,----,,,A
8.592.70,1.54,,0.21,3.560.24,,8.482.41,----,----,,,A
7.632.41,3.18,,o .44,7.35 0.50,,4.471.26,----,----,,,A
7.542.40,3.73,,0.52,8.620.59,,3.420.97,----,----,,,A
8.972.96,6.30,,0.91,14.561.05,,0.920.27,----,----,,,A
12.2112.384.284.26,9.609.81,,1.471.48,21.5621.861.601.71,,---- ---- --------,0.39  a.50,0.os 0.06,,A,A
13.88 s .02,11.31,,1.79,24.512.00,,---- ----,1.00,0.13,,A +  DB,
14.165.16,11.76,,1.87,25.012.06,,---- ----,1.32,0.18,,DB,
14.335.26,12.13,,1.94,25.312.11,,---- ----,1.65,0.23,,DB,
15.005.57,12.73,,2.06,26.492.25,,---- ----,1.78,0.25,,DB,
15.595.90,13.94,,2.30,27.532.40,,---- ----,2.83,0.41,,DB,
17.156.78,16.52,,2.84,30.292.84,,---- ----,4.75,o .74,,DB,
17.727.10,17.31,,3.03,31.303.00,,---- ----,5.24,0.84,,DB,
19.278.05,19.18,,3.50,34.033.46,,---- ----,6.19,1.05,,DB + B7,
18.787.78,18.93,,3.42,33.173.34,,---- ----,6.34,1.07,,B7,
16.056.36,17.52,,3.03,28.352.68,,---- ----,7.28,1.15,,B7,
15.105.92,17.33,,2.96,26.672.48,,---- ----,8.02,1.25,,B 7,
14.715.73,17.09,,2.91,25.982.40,,---- ----,8.10,1.25,,B 7,
15.346.10,18.32,,3.18,27.092.58,,---- ----,9.14,1.46,,B 7,
16.146.63,20.24,,3.65,28.502.86,,---- ----,10.95,1.84,,B7,
17.877.83,24.05,,4.60,31.563.55,,--,,,,,
18.368.25,25.58,,5.02,32.413.82,,------ --------,14.3815.99,2.713.16,,B7  B7,
19.1819.398.96 a.50,26.4326.72,,5.305.39,33.8734.254.144.23,,-------- --------,16.2916.47,3.333.41,,B7 + C2 C2,
19.338.96,26.99,,5.46,34.144.25,,---- ----,16.91,3.52,,C2,
19.549.13,27.41,,5.59,34.514.36,,---- ----,17.27,3.65,,C2,
