0,1,2,3,4,5,6,7,8,9,10,5_phase,10_phase
mass%,mol%,mass%,mol%,index pH,,mass%,mol/kg,mass%,mol/kg,phase,,
,,,,temp . =,25°,,,,,,C,
8.91,0.0125,----,----,1.39410.80,,0.oo,0.oo,16.84,2.87,,,
4.52,0.0226,2.04,0.0002,1.36510.38,,3.45,0.32,8.54,1.46,. .,,
4.01,0.0107,1.25,0.0016,1.36510.49,,2.11,0.20,7.56,1.29,"""",,
1.47,0.0039,3.92,0.0052,1.3549.69,,6.63,0.62,2.78,0.47,"""",,
5.43,0.0147,1.15,0.0015,1.38010.73,,1.94,0.18,10.26,1.75,"""",,
2.52,0.0062,5.23,0.0070,1.3629.31,,8.84,0.83,4.76,0.81,"""",,
2.74,0.0075,5.50,0.0074,1.3649.20,,9.30,0.87,5.18,0.88,"""",,
1.50,0.0041,5.98,0.0081,1.3698.18,,10.11,0.94,2.84,0.48,"""",,
7.00,0.0191,0.99,0.0013,1.37210.92,,1.67,0.16,13.23,2.25,t i,,
3.25,0.0090,5.97,0.0090,1.3709.05,,10.10,0.94,6.14,1.05,A +,,B
----,-----,26.40,0.0435,1.4073.03,,44.64,4.17,0.oo,0.oo,,,
1.28,0.0038,14.23,0.0212,1.4054.25,,24.06,2.25,2.32,0.40,t i,,
1.02,0.0031,16.06,0.0239,1.4003.99,,27.16,2.54,1.93,0.33,"""",,
0.50,0.0015,18.00,0.0272,1.4014.01,,30.44,2.84,0.94,0.16,"""",,
1.42,0.0041,13.17,0.0198,1.4114.52,,22.27,2.08,2.68,0.46,t i,,
3.69,0.0109,12.10,0.0177,1.4186.87,,20.46,1.91,6.97,1.19,B +,,C
1.51,0.0041,5.58,0.0075,1.3678.48,,9.44,0.88,2.85,0.49,,,
2.40,0.0069,10.81,0.0154,1.4006.67,,18.23,1.71,4.54,0.77,"""",,
1.36,0.0038,8.96,0.0124,1.3757.50,,15.15,1.42,2.57,o .43,t i,,
1.01,0.0028,8.60,0.0118,1.3737.48,,14.54,1.36,1.91,0.33,"""",,
