0,1,2,3,4,5,6,7,8,9,10,11,12,7_phase
B20,,P,,,,,,,,,,,
,,,,,,,,,a,,a,,
3,,205,,,r efr .,,,NaHl04,,NaB0,2,solidb,
mass% mol%,,mass%,mol%,,index,,pH,mass% mol/ kg,,mass% mol/kg,,phase,
,,,,,temp .,..,35°,,,,,,C
13.160.0375,,----,----,,1.400,,10.36,0.000.oo,,24.87,4.24,A,
2.420.0065,,3.85,0.0051,,1.368,,10.13,6.510.61,,4.57,0.78,II,
2.510.0068,,4.00,0.0053,,1.371,,10.65,6.760.63,,4.74,0.81,II,
1.260.0033,,1.18,0.0001,,1.370,,10.36,2.000.19,,2.38,0.40,II,
5.020.0134,,0.75,0.0010,,1.391,,11.17,1.270.12,,9.45,1.62,II,
1.490.0039,,2.59,0.0034,,1.365,,10.02,4.380.41,,2.82,0.48,"""",
2.540.0071,,7.20,0.0099,,1.365,,8.19,12.181.14,,4.80,0.82,B,
1.900.0054,,6.17,0.0083,,1.362,,9.60,10.430.97,,3.59,0.61,"""",
1.830.0049,,2.51,0.0032,,1.367,,10.66,4.240.40,,3.46,0.59,,
"-5-,-0-3 -0-.-01--4-6",,8.9632.40,0.01280.0603,,1.3911.412,,7.513.02,11.7754.795.121.10,,9.510.oo,1.620.oo,B C,
0.840.0025,,15.25,0.0596,,1.377,,3.24,25.792.41,,1.59,0.27,"""",
1.200.0035,,14.16,0.0206,,1.380,,3.40,23.942.24,,2.27,0.39,II,
1.710.0049,,11.82,0.0169,,1.380,,3.63,19.991.87,,3.23,0.55,II,
2.510.0073,,11.76,0.0169,,1.383,,3.70,19.871.89,,4.74,0.81,II,
7.480.0234,,10.10,0.0149,,1.413,,7.00,17.081.60,,14.14,2.41,B + C,
1.430.0043,,12.71,0.0183,,1.381,,3.61,21.492.01,,2.70,0.46,C,
4.200.0121,,9.20,0.0131,,1.385,,7.44,15.561.45,,7.94,1.35,B,
2.050.0057,,7.03,0.0096,,1.365,,9.10,11.891.11,,3.87,0.66,II,
3.500.0099,,7.98,0.0111,,1.371,,7.92,13.491.26,,6.62,1.13,"""",
