0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,6_phase
,7331.14,29.7355.47,,402.2,A +,B +,,C,,,,,,,
,746.77,64.852.88,,102.8,B +,C +,,,,,,,,,E
,7539.70,10.8583.70,,556.5,A,+,,,,,,,,,B
,7669.77,20.5169.24,,613.0,A,+,,,,,,,,,C
,7754.56,23.0865.46,,534.6,,,,,,,,,,,II
,7825.72,36.0446.04,,365.3,B,+,,,,,,,,,C
,7921.08,42.1636.76,,317.9,,,,,,,,,,,II
,8014.97,51.8922.09,,237.0,,,,,,,,,,,II
,819.74,61.158.15,,149.8,,,,,,,,,,,II
,826.80,64.603.02,,102.5,,,,,,,,,,,II
,8361.31,10.0684.90,,649.7,,,,,,,,,,,A
,8410.00,20.0070.00,,603.8,,,,,,,,,,,B
,8515.63,31.2653.11,,457.8,,,,,,,,,,,II
,8659.39,36.5845.34,,622.9,,,,,,,,,,,C
,8738.70,46.0830.90,,503.7,,,,,,,,,,,II
,8830.24,60.499.27,,393.6,,,,,,,,,,,II
,8928.42,56.8414.74,,381.9,,,,,,,,,,,II
,,t emp . = 100 °c,,,,,,,,,,,,,
,9027.84,43.1635.40,,256.6,A +,B +,,C,,,,,,,
,918.47,65.272.10,,71.6,B +,C +,,E,,,,,,,
,9250.41,0100,,594.2,A,+,,,,,,,,,B
,9344.56,11.8882.22,,418.6,,,,,,,,,,,II
,9435.98,27.8558.34,,375.8,,,,,,,,,,,II
,9524.04,48.0827.88,,223.5,B +,,,,,,,,,,C
,9620.20,52.9320.56,,191.7,,,,,,,,,,,II
,9715.15,59.2710.85,,138.1,,,,,,,,,,,II
,9812.65,61.996.89,,115.5,,,,,,,,,,,II
,9912.10,62.735.74,,105.6,,,,,,,,,,,II
,1009.29,64.912.39,,76.1,,,,,,,,,,,II
,1018.70,65.112.30,,74.4,,,,,,,,,,,II
aThe,concentration units  are :,mol/ 100,eq% of,solute.,,,,,,,,,,,
bThe,solid phaes are : A,a KC1; B a  NaC1;,C,= KH P2 o P4 ; D,= NaH,Po2,,4 • 2H,NaH2,o ;,E,=,,2.0,
art 2.,The compiler has calculated,the,following,results,from,the data,,,,in,Part 1.,,,,
,+,+,,-,,,,,,,,,,,
,K,Na,,Cl,,H2Po4,,,,,,H2o,,,
soln .  no .,mass% mol/kg mass%,mol/kg,mass%,mol/kg,mass%,,,,mol/kg,,,mass%,,,
,,"temp • .,0 °",C,,,,,,,,,,,,
1,3.831.448.68,5.53,15.46,6.38,3.84,,,,0.58,,,68.18,,,
2,2.530.969.19,5.97,13.70,5.75,7.60,,,,1.17,,,66.98,,,
3,3.881.448.72,5.49,16.14,6.58,2.23,,,,0.33,,,69.02,,,
4,3.881.448.73,5.49,16.25,6.61,2.00,,,,0.30,,,69.14,,,
5,9.783.301.78,1.03,10.82,4.03,2.11,,,,0.29,,,75.52,,,
6,8.302.863.29,1.93,11.70,4.43,2.45,,,,0.34,,,74.25,,,
7,6.302.235.46,3.29,13.10,5.10,2.87,,,,o .41,,,72.28,,,
8,2.380.908.76,5.66,12.25,5.12,9.33,,,,1.43,,,67.27,,,
9,2.300.888.06,5.23,9.88,4.14,12.67,,,,1.95,,,67.09,,,
10,2.060.807.40,4.88,6.71,2.86,17.93,,,,2.80,,,65.91,,,
11,1.300.499.75,6.22,13.60,5.61,7.12,,,,1.08,,,68.22,,,
12,3.331.268.92,5.71,15.04,6.23,4.78,,,,o .72,,,67.94,,,
13,2.691.029.15,5.91,14.11,5.90,6.69,,,,1.02,,,67.35,,,
14,10.103.341.39,0.79,10.77,3.96,1.25,,,,0.17,,,76.49,,,
15,1.590.589.62,5.98,14.83,5.96,3.94,,,,0.58,,,70.01,,,
