0,1,2,3,4,5,6,7,8
1.0,16.47,8.03,0.890.74,25.59,,7.87,4.60,0.90
2.0,16.04,8.43,2.191.96,28.30,,9.38,4.79,1.01
3.0,14.46,8.14,4.143.96,30.76,,10.92,5.22,1.18
4.0,15.60,7.82,4.994.88,31.70,,11.49,5.22,1.21
5.0,13.12,7.99,6.006.21,33.62,,12.92,5.28,1.29
6.0,13.82,10.18,7.409.27,38.07,,17.68,5.98,1.77
7.0,12.54,9.16,8.2810.29,38.91,,17.91,5.22,1.53
8.0,11.80,9.10,9.3212.23,40.54,,19.72,5.18,1.61
9.0,11.58,9.29,9.8413.43,41.79,,21.13,4.90,1.58
10.0,11.52,10.04,10.4815.54,42.91,,23.57,5.72,2.01
11.0,11.33,10.68,11.2918.11,45.26,,26.90,4.98,1.89
12.0,11.82,10.39,10.9016.29,48.16,,26.68,0.oo,0.oo
13.0,11.72,10.88,11.2617.77,48.12,,28.16,1.34,0.50
14.0,11.61,10.88,11.2317.90,46.78,,27.63,3.05,1.15
15.0,3.43,2.51,10.1712.66,0.00,,0.oo,51.45,15.18
16.0,3.34,2.80,11.8016.82,6.69,,3.53,47.64,16.09
17.0,3.28,2.63,11.9916.36,10.51,,5.31,42.32,13.68
18.0,3.65,2.95,12.2516.86,14.70,,7.50,37.77,12.31
19.0,4.19,3.39,12.1416.72,16.91,,8.63,35.17,11.48
20.0,4.41,3.83,12.6918.75,19.63,,10.75,33.80,11.83
21.0,5.55,4.82,12.5418.52,25.30,,13.84,27.13,9.49
22.0,7.20,6.37,12.5618.90,34.64,,19.32,16.68,5.95
23.0,10.04,8.98,11.6317.69,43.01,,24.26,6.71,2.42
24.0,0.oo,0.00,13.2314.89,34.38,,5.72,38.66,9.16
25.0,1.33,0.97,13.2416.49,34.99,,7.14,34.93,10.32
26.0,2.77,2.16,12.7416.88,35.59,,7.87,32.84,11.17
,,,t emp . = 348 K,,,,,
27.0,23.00,14.87,0.000.oo,34.77,,14.18,2.67,0.69
28.0,21.56,15.72,2.152.66,37.87,,17.41,3.32,0.97
29.0,19.66,15.21,3.995.25,39.59,,19.31,3.70,1.15
30.0,18.30,15.84,5.868.63,42.32,,23.09,3.94,1.37
31.0,16.47,15.81,7.9012.89,44.74,,27.07,4.23,1.63
32.0,14.59,15.59,9.9118.01,46.99,,31.64,4.55,1.95
33.0,15.39,17.52,10.2019.74,51.94,,37.28,0.00,0.00
34.0,15.00,17.31,10.3020.22,49.89,,36.31,2.63,1.22
35.0,14.44,16.81,10.5320.87,48.27,,35.44,4.78,2.24
36.0,13.71,15.28,10.6920.28,47.04,,33.05,5.58,2.51
37.0,12.57,12.74,10.7118.46,44.23,,28.25,7.23,2.95
38.0,11.03,10.65,11.0918.20,40.39,,"2 /i,58",10.98,4.27
39.0,10.11,9.50,11.3218.08,38.20,,22.61,13.11,4.96
