0,1,2,3,4,5,6,7,8,9
36.27,45.36,,31.2,3.19,55.17,81.37,,44.86,5.72
36.27,45.41,,31.23,3.19,55.17,81.43,81.4,44.88,5.73
36.27,45.36,,31.2,3.19,55.27,81.61,,44.94,5.74
36.27,45.35,,31.2,3.19,55.27,81.66,81.64,44.95,5.74
37.27,47.56,,32.23,3.34,60.23,83.01,,45.36,5.84
37.27,47.48,,32.19,3.34,60.23,83.02,83.0,45.36,5.84
37.27,47.46,,32.18,3.34,60.23,82.98,,45.35,5.84
37.27,47.53,47.52,32.22,3.34,70.26,88.1,,46.84,6.2
37.27,47.56,,32.23,3.34,70.26,88.17,88.11,46.86,6.2
37.27,47.48,,32.19,3.34,70.26,88.07,,46.83,6.2
37.27,47.49,,32.2,3.34,80.39,94.74,,48.65,6.66
37.27,47.56,,32.23,3.34,80.39,94.83,94.78,48.67,6.67
40.29,54.95,,35.46,3.86,80.39,94.76,,48.65,6.67
40.29,54.86,,35.42,3.86,89.74,102.85,,50.7,7.23
40.29,54.95,,35.46,3.86,89.74,102.89,102.87,50.71,7.24
40.29,54.83,54.88,35.41,3.86,94.75,107.31,,51.76,7.55
40.29,54.85,,35.42,3.86,94.75,107.37,107.34,51.78,7.55
40.29,54.88,,35.43,3.86,94.75,107.34,,51.77,7.55
45.14,68.67,,40.71,4.83,95.86,107.08,,51.71,7.53
45.14,68.68,68.64,40.72,4.83,95.86,107.09,107.09,51.71,7.53
45.14,68.61,,40.69,4.83,96.86,104.94,,51.2,7.38
45.14,68.58,,40.68,4.82,96.86,105.01,104.98,51.22,7.39
47.23,76.6,,43.37,5.39,99.57,101.25,,50.31,7.12
47.23,76.55,76.58,43.36,5.38,99.57,101.22,101.21,50.3,7.12
48.23,80.03,80.03,44.45,5.63,99.57,101.16,,50.29,7.12
48.33,80.12,,44.48,5.64,99.77,102.12,,50.52,7.18
48.33,80.17,80.15,44.5,5.64,99.77,102.16,102.15,50.53,7.18
50.22,80.4,,44.57,5.66,99.77,102.16,,50.53,7.18
50.22,80.34,80.35,44.55,5.65,,,,,
50.22,80.32,,44.54,5.65,,,,,
50.22,80.36,,44.56,5.65,,,,,
