0,1,2,3,4,5,5_phase
---- ----,10.80,0.85,89.2,,,A
25.572.06,3.24,0.32,71.19,,,II
31.842.83,3.66,0.40,64.5,,,II
35.173.32,3.94,0.46,60.89,,,II
39.414.13,5.82,o .75,54.77,A,+,B
40.834.36,5.42,o .71,53.75,,,B
44.595.02,4.38,0.60,51.03,B,+,C
53.417.03,2.98,0.48,43.61,,,B
e.55.617.69,2.86,0.48,41.53,B,+,D
55.607.70,2.92,0.50,41.48,,,II
,temp .,= 25 ° C.,,,,
60.669.42,2.36,0.45,36.98,,,D
59.689.59,4.60,0.90,35.72,,,II
57.859.49,7.14,1.43,35.01,B,+,D
54.948.43,7.66,1.44,37.4,,,B
45.315.81,9.91,1.56,44.78,,,II
30.983.47,17.80,2.44,51.22,,,II
29.573.30,19.05,2.61,51.38,,,II
26.642.97,21.82,2.98,51.54,B,+,E
26.612.97,22.04,3.02,51.35,,,E
26.312.91,21.76,2.95,51.93,,,II
