0,1,2,3,4,5,6,7,8,9,10
Solubility in the Na2HP04-Na,2 Si0,3.0,-H,2.0,o system at,,,20 °,c .,
Na2HP04 Na,H2 Si03,,,,,2o,,solid,,
mass% mol/kga mass%,mol/kga,,,,,a mass%,,phase,,b
7.20.550.5,0.04,,,,,92.3,,,A,
9.50.751.2,0.11,,,,,89.3,,,"""",
11.80.961.8,0.17,,,,,86.4,,,"""",
12.51.042.9,0.28,,,,,84.6,,,"""",
15.31.365.3,0.55,,,,,79.4,,,"""",
15.11.388.1,0.86,,,,,76.8,,,,
14.91.4211.5,1.28,,,,,73.6,,,I f,
9.00.8314.5,1.55,,,,,76.5,,,"""",
7.90.7416.5,1.79,,,,,75.6,,,"""",
4.80.4418.9,2.03,,,,,76.3,,,"""",
4.90.4620.5,2.25,,,,,74.7,,,,
2.50.2321.5,2.32,,,,,76.0,,,"""",
2.50.2320.0,2.11,,,,,77.5,,,"""",
1.90.1720.1,2.11,,,,,78.0,,,"""",
