0,1,2,3,4,5,6,7
2.46,0.16,4.80,0.26,92.74,Na B o7 · 10H,,0
3.10,0.20,4.30,0.23,92.6,24,11,2
3.09,0.20,4.49,0.24,92.42,,11,
4.27,o.28,4.50,0.24,91.23,,II,
5.09,0.34,3.90,0.21,91.01,solid,solution,
5.34,0.36,3.77,0.21,90.89,t i,,t i
5.83,0.39,3.57,0.20,90.6,II,,II
6.28,o.42,3.37,0.18,90.35,II,,t i
7.39,0.50,3.40,o.19,89.21,II,,t i
7.82,0.53,3.39,0.19,88.79,II,,I
8.18,0.56,3.21,0.18,88.61,11,,
8.81,0.61,3.30,0.19,87.89,II,,
9.34,0.65,3.15,0.18,87.51,II,,
10.00,o .70,3.17,0.18,86.83,ti,,
11.75,0.84,3.24,0.19,85.01,II,,
10.95,0.77,2.92,0.17,86.13,II,,
11.68,0.83,2.60,0.15,85.72,II,,
15.20,1.12,2.30,0.14,82.5,Na/o,,;12n o
16.75,1.26,2.70,0.17,80.55,,4,12
16.80,1.26,1.84,0.11,81.36,,,II
