0,1,2,3,4,5,6,6_phase
1.25,Q.09,16.82,1.68,----,----,B +,D
2.18,0.16,5.12,0.50,8.16,o.68,D +,E
1.87,0.13,3.81,0.36,6.82,0.55,,II
1.63,0.11,3.16,0.29,6.23,0.49,,II
----,----,1.58,0.17,20.80,1.89,B +,C
2.10,0.16,----,----,20.78,1.90,A +,C
1.40,0.09,4.01,0.36,2.29,0.17,,B
1.80,0.13,11.98,1.19,3.89,0.33,,II
2.03,0.15,10.18,1.02,5.76,0.49,,II
2.97,0.23,9.73,1.01,8.03,0.71,,II
1.93,0.14,7.22,0.72,8.65,0.74,,II
1.73,0.13,5.67,0.58,12.63,1.11,,II
1.40,0.11,3.40,0.35,16.12,1.44,,D
1.98,0.14,13.94,1.38,1.33,0.11,,II
2.93,0.22,12.88,1.28,1.74,0.15,,II
3.55,0.25,8.65,0.83,2.45,0.20,,II
3.82,0.27,8.13,0.78,2.03,0.17,,II
3.09,0.22,7.33,0.69,2.78,0.22,,II
2.13,0.15,6.12,0.59,6.83,0.57,,II
2.67,0.19,4.68,0.45,6.91,0.58,,II
1.2,0.08,4.13,0.39,8.2,0.67,,E
1.94,0.14,3.92,0.37,7.99,0.65,,II
2.06,0.15,3.11,0.30,9.01,o .74,,II
2.09,0.15,2.89,0.28,10.14,0.84,,II
1.92,0.16,2.43,0.27,12.38,0.94,,II
1.88,0.14,1.63,0.17,16.47,1.45,,II
1.21,0.09,1.13,0.12,18.32,1.62,,II
2.63,0.17,2.48,0.22,1.34,0.10,,A
3.36,0.22,2.13,0.19,1.43,0.11,,II
4.48,0.30,1.77,0.16,1.60,0.12,,II
2.88,0.19,1.18,0.10,1.80,0.14,,II
4.69,0.31,0.96,0.00,2.05,0.16,,II
5.13,0.34,o .76,0.07,2.28,0.17,,II
5.49,0.37,0.63,0.06,2.90,0.22,,II
6.35,o .43,0.43,0.04,3.19,0.25,,II
8.42,0.58,0.21,0.02,3.28,0.26,,II
9.80,0.69,0.22,0.02,3.32,0.27,,II
