0,1,2,3,4,5,6,7,0_phase,4_phase
t 1°,mass%,mass%,mass%,t 1°,mass%,mass%,mass%,C,C
10,4.65,----,95.35,20,7.73,----,92.27,,
10,2.43,8.10,89.47,20,3.20,7.98,88.82,,
10,1.06,15.75,83.19,20,1.30,16.75,81.95,,
10,0.50,24.10,75.40,20,0.75,26.40,72.85,,
10,0.20,33.30,66.50,20,0.17,32.46,67.37,,
31.5,10.74,----,89.26,40,15.10,----,84.90,,
31.5,6.00,6.57,87.43,40,8.80,5.95,85.25,,
31.5,3.00,13.70,83.30,40,4.90,14.10,81.00,,
31.5,0.62,24.87,74.50,40,2.25,23.50,74.25,,
31.5,0.34,34.40,65.06,40,0.90,34.10,65.00,,
31.5,0.19,42.60,57.20,40,0.27,44.50,55.23,,
31.5,0.07,52.00,47.93,40,0.09,52.00,47.91,,
