0,1,2,3,4,5,6,7,8,8_phase
3.2,2.28,22.64,1.62,,,11.89,1.85,65.4711,
3.98,2.67,28.16,2.26,----,----,13.16,2.28,58.6811,
5.22,3.24,36.93,3.59,----,----,14.70,3.10,48.3711,
5.33,3.33,37.71,3.77,----,----,15.22,3.30,47.0711,
5.67,3.41,40.11,4.2,----,----,14.89,3.37,45.0011,
6.38,3.69,45.14,5.37,----,----,15.32,3.95,39.5411,
6.8,3.92,48.11,6.35,----,----,16.20,4.63,35.6911,
7.23,3.73,51.15,6.71,----,----,,,,
7.79,3.66,55.11,7.53,----,,,,,
,,,,,,12.93,3.67,35.92,C
,,,,,----,,,,
8.56,3.42,60.56,8.42,----,----,10.425.55,3.081.67,34.4733.891111,
8.81,2.92,61.98,7.73,0.28,0.13,----,----,37.74,D
7.14,2.07,43.94,4.07,5.21,1.82,----,----,50.a s 11,
7.18,2.09,44.36,4.11,4.88,1.71,----,----,50.8113,
9.19,0.48,10.18,1.03,43.48,16.72,----,----,46.3411,
