0,1,2,3,4,5
29.0,3.00,0,0,71.00,KHl0
22.0,2.17,3.5,0.63,74.5,4
14.9,1.42,8.0,1.40,77.1,
12.4,1.20,11.7,2.07,75.9,
12.5,1.24,13.6,2.47,73.9,
9.7,0.95,15.6,2.80,74.7,
6.5,0.66,21.4,3.98,72.1,
5.0,0.53,25.5,4.92,69.5,
5.3,0.58,27.0,5.34,67.7,KHlo KCl
0,0,29.6,5.64,70.4,4 KCl
,,,temp . ..75° C .,,
39.2,4.73,0,0,60.8,KH Po
34.7,4.00,1.7,0.40,63.6,24
31.5,3.51,2.6,0.53,65.9,
27.3,3.04,6.7,1.36,66.0,
25.0,2.83,10. l,2.09,64.9,
20.1,2.22,13.5,2.72,66.4,
16.1,1.78,17.4,3.51,66.5,
16.4,1.89,20.0,4.22,63.6,
12.2,1.43,25.0,5.33,62.8,
9.1,1.11,30.6,6.81,60.3,KH/0 + KCl
5.0,0.59,32.5,6.97,62.5,4 KCl
2.9,0.33,31.8,6.53,65.3,II
0,0,32.2,6.66,66.8,II
