0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,18_phase
;;,; 14.a,---- 72.91,,----- 149.8,,o .409a -----,,0.090 -----,,0.0502 -----,,1.4451.365,,07.20,,,,A,,,B
55.30,,13.94,,9.10,,0.051,,0.020,,0.0139,,1.360,,6.21,,,,,,,II
47.62,,10.73,,6.69,,0.059,,0.021,,0.0138,,1.364,,6.03,,,,,,,II
43.78,,9.30,,5.73,,0.059,,0.017,,0.0128,,1.366,,6.00,,,,,,,II
40.32,,8.06,,4.97,,0.059,,0.016,,0.0121,,1.368,,5.98,,,,,,,II
36.48,,7.12,,4.22,,0.063,,0.021,,0.0121,,1.371,,5.95,,,,,,,II
30.34,,5.39,,3.20,,0.070,,0.018,,0.0123,,1.374,,5.90,,,,,,,II
29.95,,5.36,,3.14,,0.073,,0.022,,0.0127,,1.376,,5.89,,,,"""",,,
28.18,,5.07,,2.89,,0.075,,0.022,,0.0128,,1.379,,5.87,,,,,,,II
27.65,,4.73,,2.81,,0.103,,0.031,,0.0174,,1.381,,5.85,,,,,,,II
20.54,,3.29,,1.90,,0.090,,0.024,,0.0139,,1.384,,5.82,,,A,+,,B,
13.06,,1.83,,1.10,,0.059,,0.014,,0.0083,,1.386,,8.96,,,,,,,A
10.37,,1.38,,0.85,,0.054,,0.012,,0.0074,,1.388,,9.88,,,,,,,II
8.45,,1.17,,0.68,,0.070,,0.015,,0.0093,,1.390,,10.61,,,,,,,II
8.06,,0.97,,0.64,,0.082,,0.019,,0.0109,,1.394,,11.15,,,,,,,II
5.38,,0.74,,0.42,,0.117,,0.026,,0.0151,,1.398,,12.08,,,,,,,II
3.46,,0.37,,0.26,,0.178,,0.039,,0.0225,,1.405,,12.46,,,,,,,II
2.69,,0.36,,0.20,,0.199,,0.044,,0.0250,,1.423,,12.95,,,,,,,II
1.54,,0.18,,0.12,,0.288,,0.064,,0.0358,,1.432,,13.20,,,,,,,II
