0,1,2,3,4,5,6,7,8,9,10,11,12
,HlO + Cl- K +,+ NH4,,H NH2,0.0,,+ K,,4,,,
,9.890.257.8,42.2,,1090,,,85.5,14.5,,,,
,45.954.149.2,50.8,,1690,,,78.9,21.1,,,,
,33.866.245.5,54.5,,1680,,,71.7,28.3,,,,
,27.472.642.7,57.3,,1450,,,66.1,33.9,,,,
,27.272.843.3,56.7,,1565,,,64.8,35.2,,,,
,19.780.340.9,59.1,,1135,,,62.2,37.8,,,,
,13.186.938.9,61.1,,1130,,,62.2,37.8,,,,
,26.773.344.2,55.8,,1555,,,56.4,45.6,,,,
,24.575.536.9,63.1,,1665,,,55.7,44.3,,,,
,9.890.226.6,73.4,,925,,,31.2,68.8,,,,
,18.381.728.7,71.3,,1235,,,29.2,70.8,,,,
e,compiler has recalculated the data,to g ive  the,,,,following values:,,,,,,
,,,+,,,,,,,,,
,H/04,K,,,,NH:,,,,,solid,
mass%,mol/kg mass% mol/kg,mass%,,mol/kg,,mass%,mol/kg,,,,phase,
3.25,0.4514.475.54,1.38,,0.48,,7.32,5.52,73.55,,,A +,B
3.33,o .4714.635.66,2.11,,0.74,,7.08,5.39,72.82,,,"""",
3.53,0.5014.675.74,3.15,,1.11,,6.66,5.13,71.96,,,"""",
3.80,0.5514.965.98,4.39,,1.59,,6.28,4.94,70.54,,,"""",
4.00,0.5915.366.26,5.32,,1.96,,6.10,4.89,69.19,,,C,
3.64,0.5314.745.88,5.28,,1.91,,5.73,4.50,70.58,,,D +,E
3.57,0.5114.445.74,5.67,,2.04,,5.39,4.21,70.91,,,"""",
2.63,0.3611.864.52,9.41,,3.25,,2.17,1.63,73.90,,,"""",
2.39,0.3210.483.91,10.74,,3.63,,0.82,0.60,75.54,,,"""",
2.17,0.2910.103.73,10.81,,3.62,,0.55,0.40,76.34,,,II,
1.63,0.2315.996.33,5.15,,1.85,,6.05,4.72,71.15,,,D +,F
aT,"he solid phases are : A = ""NH4Cl"" ;","B ""'","""NH4H2Po4"" ;",,,C = t ernary,,eutec t ic,,po int ;,,
,"D = ""KCl"" ; E = ""KH/0 F 411 ; = ""NH4Cl"",",,,These,,have the same meaning,,,as,in,the,
,"table on the preced ing page,",,,,,,,,,,,
3,b .540.4911.944.59,8.43,,2.94,,2.84,2.15,73.23,,,G,
11.23,1.504.841.77,4.85,,1.61,,2.31,1.66,76.65,,,,
8.48,1.116.072.18,4.60,,1.50,,2.54,1.80,78.28,,,,
7.80,1.047.562.78,4.90,,1.63,,3.03,2.19,76.68,,,,
7.30,0.967.152.58,4.68,,1.53,,2.83,2.01,78.02,,,,
6.86,0.9610.22 · 3.93,5.74,,2.00,,3.82,2.89,73.34,,,,
4.65,0.6411.284.27,5.56,,1.91,,4.03,3.00,74.46,,,,
7.21,0.957.232.61,4.81,,1.57,,2.80,1.99,77.,,93,,
6.31,0.817.122.51,3.83,,1.23,,3.02,2.10,79.69,,,,
4.10,0.5813.815.41,4.49,,1.59,,5.71,4.40,71.88,,,,
6.05,0.829.883.67,3.82,,1.29,,4.38,3.20,75.84,,,,
