0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,11_phase
37. S 37. S,8.00,,12.52.11,,16.1,,7.9,,33.9,,E + H,+,I,,,,,,
56.535.4,9.59,,11.82.53,,26.1,,16.27,,26.7,,E +,+,J,,,,,,I
69.731.27,10.77,,10.432.85,,37.3,,29.57,,21,,D +,+,J,,,,,,E
-35.532.55,4.16,,10.851.10,,0,,0.0,,56.6,,ice +,,B,,,,,,
-29.242.6,7.13,,14.21.88,,0,,0.0,,43.2,,B +,E,,,,,,,
86. S 48.75,10.07,,16.252.66,,0,,0.0,,35,,D +,E,,,,,,,
Sec t ion IV :,( 45% K 2 co,3.0,+ 55% K 2 HP04 ) -CO (NH,,) 22 -H,2,0.0,,,,,,,,,,,,
-2715.03,1.88,,18.371.83,,9,,2.6,,57.6,,ice +,A,+,,G,,,,
-8.618.54,2.67,,22.662.59,,8.6,,2.86,,50.2,,A +  G +,,H,,,,,,
-7.519.17,2.76,,23.432.68,,7.3,,2.42,,50.2,,A +,+,H,,,,,,B
41.824.3,5.46,,29.75.29,,13.8,,7.13,,32.2,,B +,+ H,,,,,,,D
45.624.07,5.56,,29.435.39,,15.2,,8.08,,31.3,,D + H,+,I,,,,,,
63.722.59,6.68,,27.616.49,,25.4,,17.33,,24.4,,D +,+,J,,,,,,I
-21.617.73,2.11,,21.672.05,,0,,0.0,,60.6,,ic e +,,,,,,,,A
-6.621.78,3.05,,26.622.96,,0,,0.0,,51.6,,A +,B,,,,,,,
55.829.30,6.07,,35.805.88,,0,,0.0,,34.9,,B +,D,,,,,,,
Section V :,(85% K -H2 co,3.0,+ 15% K 2 HP04,) -CO (NH,02 ) 2,2,,,,,,,,,,,,,
-4033.68,4.30,,6.120.62,,3.6,,1.05,,55.6,,ice +,B,+,,G,,,,
-12.537.65,5.50,,6.650.77,,6.2,,2.08,,49.S,,B + G +,,H,,,,,,
14.341.48,7.26,,7.321.01,,9.9,,3.99,,41.3,,B + E +,,H,,,,,,
3040.3,7.75,,7.11.08,,15,,6.64,,37.6,,E + H +,,I,,,,,,
51.436.8,8.87,,6.51.24,,26.7,,14.81,,30,,E +,+,J,,,,,,I
68.728.73,9.66,,5.071.35,,44.7,,34.61,,21.5,,D +,+,J,,,,,,E
-36. S 36.98,4.73,,6.520.66,,0,,0.0,,56. S,,ice +,B,,,,,,,
16.646.16,7.30,,8.141.02,,0,,0.0,,45.7,,B +,E,,,,,,,
106.556.25,12.20,,9.981.70,,0,,0.0,,33.5,,D +,E,,,,,,,
Sec tion VI :,( 90% K2co3,,+ 10% K )2 HP04 ) -CO (NH,,22-H20,,,,,,,,,,,,,,
-40.736.54,4.77,,4.060.42,,4,,1.2,,55.4,,ice +,F,+,,G,,,,
-2240.77,5.89,,4.530.52,,4.7,,1.56,,50,,B + F +,,G,,,,,,
745,7.75,,50.68,,8,,3.17,,42,,B +,+,G,,,,,,E
15. S 44.37,7.98,,4.93 o .70,,10.5,,4.34,,40.2,,E + G,+ H,,,,,,,
40.241.13,8.65,,4.57 o .76,,19.9,,9.63,,34.4,,E + H,+,I,,,,,,
58.734.83,9.36,,3.870.82,,34.4,,21.29,,26.9,,E +,+,J,,,,,,I
-3738.7,4.91,,4.30.43,,0,,0.0,,57,,ice +,B,,,,,,,
-13. S 44.3,6.30,,4.920.ss,,0,,0.0,,50.8,,B +,F,,,,,,,
10. S 47.8,7.37,,5.30.64,,0,,0.0,,46.9,,E +,F,,,,,,,
116.560.0,13.04,,6.71.14,,0,,0.0,,33.3,,D +,E,,,,,,,
the quaternary,eut ec t ic,,point,,,,,,,,,,,,,,,,
-41.534.32,4.14,,3.220.31,,2.52,,0.62,,59.92,,ice +,A,+,,F,+,,G,
The rela t ive areas of,crystallization of,,,the,ind iv idua1phases ar e :,,,,,,,,,,,,,,
Sec t ion ice,A B,,C D,,E,F,,,G H,,,,J,,,,,,I
I 13.643.46,2.81,,29.320,,0,0,3.88,,12.22,,10.82,23.85,,,,,,,
II  14.470,4,,031.3,,0,0,5.82,,12.33,,9.82,22.86,,,,,,,
II I  13.990,2.61,,033.9,,2.73,0,4.36,,13,,10.63,18.74,,,,,,,
IV 13.811.83,3.79,,032.35,,0,0,5.01,,11.69,,12.33,19.19,,,,,,,
V 14.130,1.43,,036.21,,0,0,5.89,,10.56,,10.43,16.8,,,,,,,
VI  14.790,0.66,,032.78,,6.36,0.69,8.4,,10.3,,10.13,15.89,,,,,,,
