0,1,2,3,4,5,6,7,6_phase
Nr,pH,mass%,mol%,mass%,mol%,solid phase,,
,,,temp .,..25 ° c .,,,,
1,7.7,51.6,9.12,17.8,6.24,CsHl0,,
2,7.2,48.2,7.80,17.6,5.65,4,,II
3,6.65,45.0,6.76,17.5,5.20,,,II
4,6.4,43.4,6.29,17.4,5.00,,,II
5,6.05,41.8,5.85,17.4,4.83,,,II
6,5.6,39.5,5.28,17.5,4.64,,,II
7,5.1,37.9,4.95,17.8,4.61,,,II
8,5.0,37.3,4.80,17.6,4.49,,,II
9,5.0,37.2,4.81,17.9,4.61,"""",,
10,4.1,36.1,4.61,18.5,4.69,,,II
11,3.9,36.0,4.61,18.9,4.81,,,II
12,3.6,36.4,4.80,20.0,5.23,,,II
13,2.85,38.5,5.77,24.5,7.31,,,II
14,2.7,38.2,5.73,24.8,7.39,,,II
15,2.6,38.9,6.09,26.2,8.14,,,II
16,2.2,39.9,6.82,28.8,9.77,,,II
17,2.1,38.9,6.48,28.8,9.52,C sH (P0 ),,
18,1.7,34.8,5.23,28.4,8.47,rt 4,2.0,
19,1.3,29.9,3.98,27.9,7.34,,,II
