Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data
86.6,7.4,92.6,71.38,138.4,""""
90.0,6.55,93.45,73.98,157.8,""""
90.7,7.06,92.94,72.40,145.6,""""
92.3,6.32,93.68,74.71,164.0,""""
95.7,6.23,93.77,75.00,166.5,""""
95.7,5.65,94.35,76.90,184.7,""""
100.2,4.91,95.09,79.42,214.3,et-LiC103
102.5,5.4,94.6,77.74,193.8,""""
103.4,4.44,95.56,81.09,238.1,""""
107.3,4.3,95.7,81. 60,246.2,""""
107.7,3.68,96.32,83.91,289.6,""""
108.0,3.98,96.02,82.78,266.9,""""
114.1,3.14,96.86,86.01,341.3,""""
115.1,2.67,97.33,87.90,403.3,""""
115.3,2.46,97.54,88.77,438.6,""""
120.3,1.44,98.56,93.17,757.2,""""
121.3,1.53,98.47,92.77,712.0,""""
126.7,0.83,99.17,95.97,1322,""""
127.0,0.0,100.0,100,---,""""
127.6,0.0,100.0,100,---,""""
