Text Data,Temperature (°C),Temperature (°C),Text Data
-14.0,0.325,24.53,II
-13.8,0.3215,24.3,II
- 6.25,0.3422,25.53,""""
- 5.95,0.3417,25.47,II
0.0,0.355,26.2,NaC1·2H 2 O + NaC1
0.0,0.3571,26.31,II
3.6,0.3579,26.36,NaC1
5.3,0.3594,26.44,II
14.45,0.3594,26.44,II
20.85,0.3563,26.27,II
25.45,0.359,26.42,II
38.55,0.3652,26.75,II
44.75,0.3664,26.81,II
52.5,0.3704,27.03,
55.0,0.3699,27.0,
59.75,0.3731,27.17,
71.3,0.3796,27.52,
74.45,0.3796,27.52,
82.05,0.3841,27.75,
86.7,0.3847,27.78,
93.65,0.389,28.01,
101. 7,0.4076,28.96,
