- 0.21,Column_B,-10.76,Column_D,Column_E,0.47,0.47.1
- 0.39,,-10.76,,,0.86,0.85
- 0.81,,-10.76,,,1. 79,1. 76
- 1.60,,-10.76,,,3.62,3.49
- 3.30,,-10.76,,,7.40,6.52
- 3.30a,,-10.76,- 9.80,,7.40,""""
- 3.40,,-10.76,,,7.68,7.13
- 3.40a,,,- 9.80,,7.68,""""
- 5.50,,-10.76,,,12.50,11.11
- 5.50a,,-10.76,- 9.80,,12.50,""""
- 5.50a,,-10.76,-10,,12.50,""""
- 6.60a,,-10.76,- 9.80,,15.28,13.25
- 6.68,,-10.76,,,15.28,""""
- 7.85,,-10.76,,,18.0,15.25
- 7.85a,,-10.76,- 9.80,,18.0,""""
_. 8.88,,-10.76,,,20.52,17.03
- 9.';Wa,,-10.76,- 9.80,,20.52,""""
- 9.77,,-10.76,,,22.40,18.30
- 9.80a,,-10.76,-10.20,,22.40,""""
-10.17,,-10.76,,,23.37,18.94
- 9.80,,,- 9.80,,23.37,""""
- 9.80,,-10.76,- 9.80,,25,20.00
