- 2.3,Column_B,5.02,Column_D,Column_E,ice,- 6.6,Column_H,20.68,KC1'nH 2 0,+,XCl
- 4.8,,10.04,,,"""",- 6.0,,20.80,KCl,,
- 7.3,,14.8,,,"""",- 5.4,,20.98,"""",,
- 9.6,,18.0,,,"""",- 2.8,,21.30,"""",,
-10.2,,18.9,,,"""",- 1.0,,21. 70,"""",,
-10.6,,19.7,ice,+,KC1'nH 20a,2.4,,22.35,"""",,
-10.8,,19.87,,ice,+ KCl,4.9,,22.70,"""",,
- 9.5,,19.99,XC1'nH 2 0a,,,7.6,,23.20,,,
-,,,,,,,,,,,
,,,,,,,,,"""",,
9.0,,20.05,,,"""",9.6,,23.50,"""",,
- 8.2,,20.1,,,"""",12.0,,23.97,"""",,
- 8.0,,20.2,,,"""",15.6,,24.60,"""",,
- 7.6,,20.29,,,"""",18.6,,25.05,,,
- 7.2,,20.44,,,"""",22.0,,25.65,"""""",,
- 7.0,,20.5,,,"""",23.6,,26.00,,,
- 6.9,,20.6,,,"""",,,,"""",,
