Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data
-0.0771,0.02145,3.59,0.259,ice
-0.0949,0.0265,3.58,0.319,ice
-0.1423,0.04055,3. 509,0.488,ice
-0.1935,0.05522,3. 504,0.663,ice
-0.2147,0.0616,3.485,0.739,ice
-0.2708,0.07826,3. 460,0.937,ice
-0.4152,0.12177,3. 410,1.451,ice
-0.5504,0.16232,3. 391,1.925,ice
-0.6713,0.19974,3. 36 1,2.358,ice
-0.8102,0.24222,3. 345,2.846,ice
-1.0067,0.30323,3. 320,3.537,ice
-1.169,0.35372,3. 305,4.102,ice
-1.4139,0.43005,3. 2878,4.943,ice
-1.9758,0.60827,3. 2482,6.851,ice
-2.7314,0.8491,3. 2168,9.312,ice
-3.466,1.08422,3. 1968,11. 591,ice
-4.0967,1.28646,3. 1845,13.462,ice
-5.0217,1.58444,3. 1694,16.079,ice
-6.2937,1.99072,3. 1615,19.402,ice
-7.6634,2.4252,3. 1599,22.676,ice
-10.4356,3.3044,3. 1581,28.550,ice
