Temperature (°C),Text Data,Text Data,Phase
-5.4,24.85 0.8392,II,A
-7.3,29.60 1.067,II,A
-18.0,43.04 1. 918,II,A
-11.5,46.25 2.182,synthetic,B
-5.5,48.47 2.387,II,B
-4.2,45.27 2.099,II,B
,b,,
5.5,50.55 2.594,II,B
7.6,51.27 2.702,II,B
15.0,52.80 2.839,II,B
20.0,54.40 Bb3.028,Analytical,
21.1,55.58 3.175,II,B
25.0,55.90 3.217,II,B
36.1,60.28 3.851,II,B
43.6,64.20 4.551,II,B
54.5,70.25 5.993,II,B
56.1,71.95 6.510,II,B
57.4,72.76 6.779,"""",B
58.2,74.13 7.272,II,B
58.6,75.65 7.884,II,B+C
62.0,76.83 8.415,"""",C
72.4,78.50 9.266,"""",C
80.9,80.20 10.28,"""",C
88.5,81.13 10.91,"""",C
