t/oc,mass %,Column_C,mol/kg,Solid Phase,d,Column_G,Determination
--,,,,,,,
37.3,67.07,,4.243,A,,,analytical
54.5,69.78,,4.810,A,,,II
72.0,73.39,,5.745,A,,,II
90.2,76.39,,6.740,A,,,II
99.7,78.56,,7.633,A,,,II
110.4,81.11,,8.944,A,,,II
110.9,81.50,,9.177,A,,,II
b,,,,,,,
111.0,--,,--,A+B,,,
120.6,82.01,,9.496,B,,,analytical
128.0,82.41,,9.759,B,,,synthetic
130.5,82.85,,10.06,B,,,analytical
139.5,84.27,,11.16,B,,,II
146.0,85.30,,12.09,B,,,II
149.0,85.81,,12.60,B,,,II
c,,,,,,,
151.0,--,,--,B+C,,,
159.0,87.41,,14.46,C,,,synthetic
211.0,91.82,,23.38,C,,,II
