Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data
97.3,71.0,70.95,29.3,29.26,0,R,7
108.9,72.8,72.74,31.2,31.12,3.2,R,7
120.7,75.0,75.23,33.7,33.96,- 8.8,R,7
136.9,80.0,79.38,40.4,39.46,22.7,T,7
144.0,82.5,81.47,44.4,42.68,39.8,T,7
144.2,81.53,,42.78,,,,**
148.5,85.0,83.02,49.0,45.29,81.7,A,7
149.3,87.5,83.34,,45.87,,,**
149.3,,87.48,54.2,54.2,0,R,7
148.5,,87.74,,54.8,,,**
144.2,90.0,88.85,60.4,57.45,50.s,A,7*
136.9,,89.87,,60.03,,,**
120.7,,92.37,,67.2,,,**
108.9,,93.38,,70.48,,,**
97.3,,94.01,,72.66,,,**
93.2,,94.15,,73.15,,,**
